Symbol,AtomicMass,AtomicRadius,Electronegativity,IonizationEnergy,ElectronAffinity,Polarizability,results_per_total,results_per_zn,ZnSites,CounterIonSites,results_per_counter_ion,,Result
Se,78.97,190,2.55,9.752,2.021,28.9,0.003185964,0.003185964,4,8,0.003185964,,3.185964033
Zn,65.4,139,1.65,9.394,0,38.67,0.013565432734760125,0.013565432734760125,4,4,0.013565432734760125,,13.56543273
Zn,65.4,139,1.65,9.394,0,38.67,0.011743128948496056,0.011743128948496056,8,8,0.011743128948496056,,11.74312895
Zn,65.4,139,1.65,9.394,0,38.67,0.010468368778862031,0.010468368778862031,5,5,0.010468368778862031,,10.46836878
Zn,65.4,139,1.65,9.394,0,38.67,0.014071669,0.014071669,17,17,0.014071669,,14.07166917
Zn,65.4,139,1.65,9.394,0,38.67,0.009404416,0.009404416,44,44,0.009404416,,9.40441648
Zn,65.4,139,1.65,9.394,0,38.67,0.013254473312984147,0.013254473312984147,22,22,0.013254473312984147,,13.25447331
Zn,65.4,139,1.65,9.394,0,38.67,0.006776654,0.006776654,26,26,0.006776654,,6.776653509
Zn,65.4,139,1.65,9.394,0,38.67,0.009150127,0.009150127,44,44,0.009150127,,9.150127019
Zn,65.4,139,1.65,9.394,0,38.67,0.014383231614877324,0.014383231614877324,116,116,0.014383231614877324,,14.38323161
Zn,65.4,139,1.65,9.394,0,38.67,0.013730584474114077,0.013730584474114077,4,4,0.013730584474114077,,13.73058447
Zn,65.4,139,1.65,9.394,0,38.67,0.011269852904624126,0.011269852904624126,26,26,0.011269852904624126,,11.2698529
Zn,65.4,139,1.65,9.394,0,38.67,0.014907070364974533,0.014907070364974533,11,11,0.014907070364974533,,14.90707036
Sb,121.76,206,2.05,8.64,1.07,43,0.004296517,0.004296517,8,8,0.004296517,,4.296517416
Zn,65.4,139,1.65,9.394,0,38.67,0.00516872,0.00516872,12,12,0.00516872,,5.168720459
Zn,65.4,139,1.65,9.394,0,38.67,0.013958148173946786,0.013958148173946786,11,11,0.013958148173946786,,13.95814817
Zn,65.4,139,1.65,9.394,0,38.67,0.011948803,0.011948803,4,4,0.011948803,,11.94880311
Mo,95.95,209,2.16,7.092,0.746,87,0.005082365,0.005082365,6,1,0.005082365,,5.082365146
Ni,58.693,163,1.91,7.64,1.156,49,0.009299111,0.009299111,22,4,0.009299111,,9.2991113
Zn,65.4,139,1.65,9.394,0,38.67,0.011786209,0.011786209,2,2,0.011786209,,11.78620922
Zn,65.4,139,1.65,9.394,0,38.67,0.015358503,0.015358503,12,12,0.015358503,,15.3585033
Zn,65.4,139,1.65,9.394,0,38.67,0.012872826748506589,0.012872826748506589,4,4,0.012872826748506589,,12.87282675
Zn,65.4,139,1.65,9.394,0,38.67,0.013804948,0.013804948,44,44,0.013804948,,13.80494766
Zn,65.4,139,1.65,9.394,0,38.67,0.015521208603535242,0.015521208603535242,4,4,0.015521208603535242,,15.5212086
Zn,65.4,139,1.65,9.394,0,38.67,0.013704855,0.013704855,1,1,0.013704855,,13.70485504
Zn,65.4,139,1.65,9.394,0,38.67,0.011623928398812622,0.011623928398812622,22,22,0.011623928398812622,,11.6239284
As,74.92159,185,2.18,9.815,0.81,30,0.00368939,0.00368939,96,64,0.00368939,,3.689389955
Zn,65.4,139,1.65,9.394,0,38.67,0.006415838,0.006415838,4,4,0.006415838,,6.415838179
Zn,65.4,139,1.65,9.394,0,38.67,0.015486505,0.015486505,12,12,0.015486505,,15.48650457
Zn,65.4,139,1.65,9.394,0,38.67,0.020610023733461248,0.020610023733461248,1,1,0.020610023733461248,,20.61002373
Zn,65.4,139,1.65,9.394,0,38.67,0.018340400486500374,0.018340400486500374,1,1,0.018340400486500374,,18.34040049
Zn,65.4,139,1.65,9.394,0,38.67,0.012593184428923269,0.012593184428923269,26,26,0.012593184428923269,,12.59318443
Zn,65.4,139,1.65,9.394,0,38.67,0.012538322003244484,0.012538322003244484,4,4,0.012538322003244484,,12.538322
Zn,65.4,139,1.65,9.394,0,38.67,0.014882422500935216,0.014882422500935216,12,12,0.014882422500935216,,14.8824225
Zn,65.4,139,1.65,9.394,0,38.67,0.012287136687178924,0.012287136687178924,50,50,0.012287136687178924,,12.28713669
Zn,65.4,139,1.65,9.394,0,38.67,0.015066880825873593,0.015066880825873593,12,12,0.015066880825873593,,15.06688083
Zn,65.4,139,1.65,9.394,0,38.67,0.010556039401591626,0.010556039401591626,4,4,0.010556039401591626,,10.5560394
Rh,102.9055,195,2.28,7.459,1.137,66,0.015655435158877865,0.015655435158877865,22,4,0.015655435158877865,,15.65543516
Zn,65.4,139,1.65,9.394,0,38.67,0.017301346910428048,0.017301346910428048,1,1,0.017301346910428048,,17.30134691
Zn,65.4,139,1.65,9.394,0,38.67,0.012089688,0.012089688,17,17,0.012089688,,12.08968766
Zn,65.4,139,1.65,9.394,0,38.67,0.013570174115559117,0.013570174115559117,4,4,0.013570174115559117,,13.57017412
Ir,192.22,202,2.2,9.1,1.565,54,0.013670524696870709,0.013670524696870709,22,4,0.013670524696870709,,13.6705247
Zn,65.4,139,1.65,9.394,0,38.67,0.01463227,0.01463227,1,1,0.01463227,,14.6322697
Zn,65.4,139,1.65,9.394,0,38.67,0.009082574,0.009082574,116,116,0.009082574,,9.08257449
Zn,65.4,139,1.65,9.394,0,38.67,0.014002574,0.014002574,17,17,0.014002574,,14.00257414
Zn,65.4,139,1.65,9.394,0,38.67,0.019729912,0.019729912,1,1,0.019729912,,19.72991246
Zn,65.4,139,1.65,9.394,0,38.67,0.008622508,0.008622508,17,17,0.008622508,,8.622507523
Zn,65.4,139,1.65,9.394,0,38.67,0.012680316056795605,0.012680316056795605,22,22,0.012680316056795605,,12.68031606
Zn,65.4,139,1.65,9.394,0,38.67,0.014046791553316187,0.014046791553316187,16,16,0.014046791553316187,,14.04679155
Zn,65.4,139,1.65,9.394,0,38.67,0.014366672,0.014366672,12,12,0.014366672,,14.36667226
Zn,65.4,139,1.65,9.394,0,38.67,0.017876717,0.017876717,1,1,0.017876717,,17.8767167
