Symbol,AtomicMass,AtomicRadius,Electronegativity,IonizationEnergy,ElectronAffinity,Polarizability,results_per_total,results_per_zn,ZnSites,CounterIonSites,results_per_counter_ion,SpaceGroup,SpaceGroupNumber,Total Sites,Reduced Formula
Rb,85.468,303.0,0.82,4.177,0.468,319.8,0.00677665350909175,0.007297934548252654,26.0,26.0,0.007297934548252654,Fm-3c,226,28,RbZn13
Sc,44.95591,211.0,1.36,6.561,0.188,97.0,0.011743104705727229,0.012721696764537832,12.0,12.0,0.012721696764537832,I4/mmm,139,13,ScZn12
Sc,44.95591,211.0,1.36,6.561,0.188,97.0,0.016370318859506707,0.02455547828926006,8.0,8.0,0.02455547828926006,P6_3/mmc,194,12,ScZn2
Sc,44.95591,211.0,1.36,6.561,0.188,97.0,0.015822894812212624,0.03164578962442525,1.0,1.0,0.03164578962442525,Pm-3m,221,2,ScZn
Sm,150.4,229.0,1.17,5.644,,192.0,0.01400257414186642,0.01564993580561541,17.0,17.0,0.01564993580561541,R-3m,166,19,Sm2Zn17
Sm,150.4,229.0,1.17,5.644,,192.0,0.014973279316358393,0.019056900948092502,11.0,11.0,0.019056900948092502,Immm,71,14,Sm3Zn11
Sm,150.4,229.0,1.17,5.644,,192.0,0.00940441648021878,0.010686836909339524,44.0,44.0,0.010686836909339524,I4_1/amd,141,50,Sm3Zn22
Sm,150.4,229.0,1.17,5.644,,192.0,0.013102809502743269,0.014194710294638542,12.0,12.0,0.014194710294638542,C2/m,12,13,SmZn12
Sm,150.4,229.0,1.17,5.644,,192.0,0.0148670925195521,0.022300638779328148,4.0,4.0,0.022300638779328148,Imma,74,6,SmZn2
Sm,150.4,229.0,1.17,5.644,,192.0,0.014882422500935216,0.019843230001246954,12.0,12.0,0.019843230001246954,Pnma,62,16,SmZn3
Sm,150.4,229.0,1.17,5.644,,192.0,0.020610023733461248,0.041220047466922496,1.0,1.0,0.041220047466922496,Pm-3m,221,2,SmZn
Sr,87.62,249.0,0.95,5.695,,197.2,0.01210842657408266,0.013039844002858248,26.0,26.0,0.013039844002858248,Fm-3c,226,28,SrZn13
