-----------------------------------
 s i m p l e   D F T - D 3  v1.2.1
-----------------------------------

Zero (Chai-Head-Gordon) damping: pbe-D3(0)
--------------------
  s6         1.0000
  s8         0.7220
  s9         0.0000
 rs6         1.2170
 rs8         1.0000
 alp        14.0000
--------------------

Atomic radii (in Angstrom):
-------------------------------------------
   Z          R(cov)     R(vdw)      r4/r2
-------------------------------------------
  56 Ba       2.3467     2.5907     5.3747
  12 Mg       1.6667     1.7420     2.8909
-------------------------------------------

Atomic reference systems (in atomic units):
----------------------------------------------------------------------------
   Z        #      CN    C6(AA)   #      CN    C6(AA)   #      CN    C6(AA)
----------------------------------------------------------------------------
  56 Ba     1  0.0000 5726.9887   2  0.9797 4171.7842   3  1.8467  716.5475
  12 Mg     1  0.0000  683.3758   2  0.9628  451.2708   3  1.9496  175.5616
----------------------------------------------------------------------------

Dispersion properties (in atomic units):
--------------------------------------------------------
     #    Z                CN       C6(AA)       C8(AA)
--------------------------------------------------------
    76   12 Mg  -0.86273465E-03     -0.54137417
    77   12 Mg  -0.86869518E-03     -0.54511446
    78   12 Mg  -0.86869106E-03     -0.54511187
    79   12 Mg  -0.85926015E-03     -0.53919389
    80   12 Mg  -0.85926117E-03     -0.53919452
    81   12 Mg  -0.85926106E-03     -0.53919446
    82   12 Mg  -0.85926404E-03     -0.53919633
    83   12 Mg  -0.86130205E-03     -0.54047519
    84   12 Mg  -0.86860008E-03     -0.54505478
    85   12 Mg  -0.86859626E-03     -0.54505238
    86   12 Mg  -0.85926001E-03     -0.53919380
    87   12 Mg  -0.85926184E-03     -0.53919495
    88   12 Mg  -0.86526964E-03     -0.54296490
    89   12 Mg  -0.86527098E-03     -0.54296573
    90   12 Mg  -0.86719540E-03     -0.54417333
    91   12 Mg  -0.86868896E-03     -0.54511055
    92   12 Mg  -0.86859347E-03     -0.54505063
    93   12 Mg  -0.86860148E-03     -0.54505566
    94   12 Mg  -0.86719483E-03     -0.54417297
    95   12 Mg  -0.86720162E-03     -0.54417723
    96   12 Mg  -0.86859865E-03     -0.54505388
    97   12 Mg  -0.86859753E-03     -0.54505318
    98   12 Mg  -0.86273075E-03     -0.54137172
    99   12 Mg  -0.86273291E-03     -0.54137308
   100   12 Mg  -0.86527490E-03     -0.54296820
   101   12 Mg  -0.87226361E-03     -0.54735368
   102   12 Mg  -0.87226388E-03     -0.54735385
   103   12 Mg  -0.87226475E-03     -0.54735439
   104   12 Mg  -0.87226261E-03     -0.54735305
   105   12 Mg  -0.87226278E-03     -0.54735316
   106   12 Mg  -0.87226154E-03     -0.54735238
   107   12 Mg  -0.86390205E-03     -0.54210672
   108   12 Mg  -0.86887948E-03     -0.54523010
   109   12 Mg  -0.86888484E-03     -0.54523347
   110   12 Mg  -0.86888269E-03     -0.54523212
   111   12 Mg  -0.86811690E-03     -0.54475158
   112   12 Mg  -0.86811503E-03     -0.54475040
