Symbol,AtomicMass,AtomicRadius,Electronegativity,IonizationEnergy,ElectronAffinity,Polarizability,results_per_total,results_per_li,LiSites,CounterIonSites,results_per_counter_ion,Result
Ge,72.63,211,2.01,7.9,1.35,40,0.011721743,0.011721743,18,8,0.011721743,11.72174258
Cu,63.55,140,1.9,7.726,1.228,46.5,0.01422204,0.01422204,1,3,0.01422204,14.2220404
Ga,69.723,187,1.81,5.999,0.3,50,0.017628143,0.017628143,3,1,0.017628143,17.62814317
Si,28.085,210,1.9,8.152,1.385,37.3,0.01384769,0.01384769,30,8,0.01384769,13.84768962
Ge,72.63,211,2.01,7.9,1.35,40,0.001334162,0.001334162,6,6,0.001334162,1.33416159
Nd,144.24,229,1.14,5.525,0,208,0.024987801,0.024987801,3,1,0.024987801,24.98780086
Cl,35.45,175,3.16,12.968,3.617,14.6,0.0047004,0.0047004,2,2,0.0047004,4.700399878
As,74.92159,185,2.18,9.815,0.81,30,0.007389242,0.007389242,8,8,0.007389242,7.38924184
Sn,118.71,217,1.96,7.344,1.2,53,0.000955036,0.000955036,13,5,0.000955036,0.955035546
Sm,150.4,229,1.17,5.644,0,192,0.025455674,0.025455674,3,1,0.025455674,25.4556741
F,18.99840316,135,3.98,17.423,3.339,3.74,0.008128768,0.008128768,1,1,0.008128768,8.128767692
O,15.999,152,3.44,13.618,1.461,5.3,0.001049473,0.001049473,2,4,0.001049473,1.049472907
Si,28.085,210,1.9,8.152,1.385,37.3,0.000592535,0.000592535,42,18,0.000592535,0.592535316
Hg,200.59,209,2,10.438,0,33,0.012426191,0.012426191,6,2,0.012426191,12.42619064
Re,186.207,217,1.9,7.88,0.15,62,0.001166525,0.001166525,6,2,0.001166525,1.166524528
B,10.81,192,2.04,8.298,0.277,20.5,0.005063406,0.005063406,1,11,0.005063406,5.063405965
Y,88.90584,219,1.22,6.217,0.307,162,0.020998394,0.020998394,6,2,0.020998394,20.99839429
Pd,106.42,202,2.2,8.337,0.557,26.14,0.016755675,0.016755675,30,8,0.016755675,16.75567472
As,74.92159,185,2.18,9.815,0.81,30,0.011737368,0.011737368,18,6,0.011737368,11.73736755
Mg,24.305,173,1.31,7.646,0,71.2,0.016573128,0.016573128,4,2,0.016573128,16.57312763
Te,127.6,206,2.1,9.01,1.971,38,0.003032952,0.003032952,2,6,0.003032952,3.03295214
C,12.011,170,2.55,11.26,1.263,11.3,0.00070377,0.00070377,1,12,0.00070377,0.703770481
Cd,112.41,158,1.69,8.994,0,46,0.015417568,0.015417568,3,1,0.015417568,15.41756765
Mg,24.305,173,1.31,7.646,0,71.2,0.016131535,0.016131535,2,4,0.016131535,16.13153483
Ga,69.723,187,1.81,5.999,0.3,50,0.017308561,0.017308561,3,1,0.017308561,17.30856053
Y,88.90584,219,1.22,6.217,0.307,162,0.025358602,0.025358602,1,3,0.025358602,25.35860239
Mg,24.305,173,1.31,7.646,0,71.2,0.012852929,0.012852929,1,5,0.012852929,12.85292937
S,32.07,180,2.58,10.36,2.077,19.4,0.009012316,0.009012316,22,11,0.009012316,9.012315788
Mg,24.305,173,1.31,7.646,0,71.2,0.016511373,0.016511373,4,2,0.016511373,16.51137311
Tl,204.383,196,1.62,6.108,0.2,66,0.017028472,0.017028472,5,2,0.017028472,17.02847194
Ga,69.723,187,1.81,5.999,0.3,50,0.0108512,0.0108512,6,14,0.0108512,10.85119962
Mg,24.305,173,1.31,7.646,0,71.2,0.016575746,0.016575746,2,4,0.016575746,16.57574579
S,32.07,180,2.58,10.36,2.077,19.4,0.000437993,0.000437993,2,8,0.000437993,0.437992907
Mg,24.305,173,1.31,7.646,0,71.2,0.017925901,0.017925901,6,2,0.017925901,17.9259013
Bi,208.9804,207,2.02,7.289,0.946,53,0.00777091,0.00777091,1,1,0.00777091,7.770909814
Tl,204.383,196,1.62,6.108,0.2,66,0.0120965,0.0120965,4,4,0.0120965,12.09649972
P,30.973762,180,2.19,10.487,0.746,25,0.001756115,0.001756115,4,20,0.001756115,1.756114716
Ag,107.868,172,1.93,7.576,1.302,55,0.011817815,0.011817815,16,10,0.011817815,11.81781521
Mg,24.305,173,1.31,7.646,0,71.2,0.017101041,0.017101041,4,2,0.017101041,17.10104141
O,15.999,152,3.44,13.618,1.461,5.3,0.000770611,0.000770611,1,8,0.000770611,0.770610893
Li,7,182,0.98,5.392,0.618,164.1125,0.001925716,0.001925716,1,1,0.001925716,1.925716227
Ge,72.63,211,2.01,7.9,1.35,40,0.00243905,0.00243905,1,3,0.00243905,2.439049859
Ga,69.723,187,1.81,5.999,0.3,50,0.003646579,0.003646579,3,2,0.003646579,3.646579188
Te,127.6,206,2.1,9.01,1.971,38,0.003672936,0.003672936,12,36,0.003672936,3.672935852
Zn,65.4,139,1.65,9.394,0,38.67,0.008815918,0.008815918,1,3,0.008815918,8.815918173
Mg,24.305,173,1.31,7.646,0,71.2,0.017328739,0.017328739,3,1,0.017328739,17.32873876
Mg,24.305,173,1.31,7.646,0,71.2,0.017256977,0.017256977,3,3,0.017256977,17.25697681
Mg,24.305,173,1.31,7.646,0,71.2,0.01635848,0.01635848,4,2,0.01635848,16.35847972
In,114.818,193,1.78,5.786,0.3,65,0.017663646,0.017663646,3,1,0.017663646,17.66364579
Cr,51.996,189,1.66,6.767,0.666,83,0.001503306,0.001503306,6,2,0.001503306,1.503306254
Sn,118.71,217,1.96,7.344,1.2,53,0.001558669,0.001558669,3,3,0.001558669,1.558669473
Pb,207,202,2.33,7.417,0.36,57,0.012127604,0.012127604,8,3,0.012127604,12.12760353
Mg,24.305,173,1.31,7.646,0,71.2,0.014881665,0.014881665,3,5,0.014881665,14.88166546
Tl,204.383,196,1.62,6.108,0.2,66,0.0177915,0.0177915,3,1,0.0177915,17.79149983
Mg,24.305,173,1.31,7.646,0,71.2,0.016845889,0.016845889,5,1,0.016845889,16.84588912
F,18.99840316,135,3.98,17.423,3.339,3.74,0.007113352,0.007113352,2,2,0.007113352,7.113352203
B,10.81,192,2.04,8.298,0.277,20.5,0.005142977,0.005142977,1,11,0.005142977,5.142976946
Hg,200.59,209,2,10.438,0,33,0.005937376,0.005937376,1,3,0.005937376,5.937375724
Nb,92.90637,207,1.6,6.759,0.893,98,0.017750332,0.017750332,3,1,0.017750332,17.75033162
B,10.81,192,2.04,8.298,0.277,20.5,0.010878998,0.010878998,4,4,0.010878998,10.87899845
La,138.9055,240,1.1,5.577,0.5,215,0.021267258,0.021267258,3,1,0.021267258,21.2672576
Pd,106.42,202,2.2,8.337,0.557,26.14,0.013961586,0.013961586,1,1,0.013961586,13.96158625
U,238.0289,240,1.38,6.194,0,180,0.015674695,0.015674695,1,1,0.015674695,15.67469468
Pd,106.42,202,2.2,8.337,0.557,26.14,0.011758503,0.011758503,1,3,0.011758503,11.7585031
Li,7,182,0.98,5.392,0.618,164.1125,0.018343399,0.018343399,24,24,0.018343399,18.34339918
Pd,106.42,202,2.2,8.337,0.557,26.14,0.012884956,0.012884956,1,1,0.012884956,12.88495554
