Symbol,AtomicMass,AtomicRadius,Electronegativity,IonizationEnergy,ElectronAffinity,Polarizability,results_per_total,results_per_li,LiSites,CounterIonSites,results_per_counter_ion
Li,7.0,182.0,0.98,5.392,0.618,164.1125,0.0123558506324173,0.0123558506324173,3.0,3.0,0.0123558506324173
Co,58.93319,192.0,1.88,7.881,0.661,55.0,0.0018062524701053,0.0018062524701053,6.0,2.0,0.0018062524701053
Ac,227.02775,260.0,1.1,5.17,0.0,282.0,0.0136347647045254,0.0136347647045254,1.0,3.0,0.0136347647045254
Bi,208.9804,207.0,2.02,7.289,0.946,53.0,0.013114259749988,0.013114259749988,3.0,1.0,0.013114259749988
Mg,24.305,173.0,1.31,7.646,0.0,71.2,0.0035080810988986,0.0035080810988986,1.0,1.0,0.0035080810988986
Mg,24.305,173.0,1.31,7.646,0.0,71.2,0.0179059149800662,0.0179059149800662,3.0,1.0,0.0179059149800662
Pd,106.42,202.0,2.2,8.337,0.557,26.14,0.0035551581521786,0.0035551581521786,2.0,1.0,0.0035551581521786
O,15.999,152.0,3.44,13.618,1.461,5.3,0.0006939110828974,0.0006939110828974,4.0,4.0,0.0006939110828974
Yb,173.05,242.0,0.0,6.254,0.0,139.0,0.0266163845682623,0.0266163845682623,2.0,6.0,0.0266163845682623
Pb,207.0,202.0,2.33,7.417,0.36,57.0,0.0117552532282787,0.0117552532282787,3.0,1.0,0.0117552532282787
As,74.92159,185.0,2.18,9.815,0.81,30.0,0.0025867140772807,0.0025867140772807,2.0,6.0,0.0025867140772807
Ni,58.693,163.0,1.91,7.64,1.156,49.0,0.0021773748582563,0.0021773748582563,6.0,2.0,0.0021773748582563
Eu,151.964,233.0,0.0,5.67,0.0,184.0,0.0266470999763026,0.0266470999763026,3.0,1.0,0.0266470999763026
B,10.81,192.0,2.04,8.298,0.277,20.5,0.0050747665632896,0.0050747665632896,4.0,4.0,0.0050747665632896
Mg,24.305,173.0,1.31,7.646,0.0,71.2,0.0153997606965022,0.0153997606965022,2.0,4.0,0.0153997606965022
Mg,24.305,173.0,1.31,7.646,0.0,71.2,0.0141854293802345,0.0141854293802345,1.0,3.0,0.0141854293802345
