Symbol,AtomicMass,AtomicRadius,Electronegativity,IonizationEnergy,ElectronAffinity,Polarizability,results_per_total,results_per_li,LiSites,CounterIonSites,results_per_counter_ion,res_per_volm_per_site,Result
Np,237.048172,221.0,1.36,6.266,,160.0,0.015509652871362876,0.02067953716181717,6.0,2.0,0.062038611485451506,0.0006843660243347545,6.8436602433475455
N,14.007,155.0,3.04,14.534,,7.4,0.0075857535344837496,0.010114338045978333,3.0,1.0,0.030343014137934998,0.0006975825859194106,6.9758258591941065
N,14.007,155.0,3.04,14.534,,7.4,0.011910685516511251,0.015880914022015,6.0,2.0,0.047642742066045005,0.0014153461563252319,14.15346156325232
P,30.973762,180.0,2.19,10.487,0.746,25.0,0.0032119816249207,0.010706605416402332,12.0,28.0,0.004588545178458143,0.00016409767415395053,1.6409767415395053
Pb,207.0,202.0,2.33,7.417,0.36,57.0,0.011755253228278724,0.0156736709710383,3.0,1.0,0.0470210129131149,0.000644284618804435,6.442846188044349
Pd,106.42,202.0,2.2,8.337,0.557,26.14,0.0157096074538312,0.020946143271774933,3.0,1.0,0.0628384298153248,0.0010910822328285396,10.910822328285397
Pd,106.42,202.0,2.2,8.337,0.557,26.14,0.01748997621750155,0.023319968290002064,3.0,1.0,0.0699599048700062,0.0011767024962508579,11.767024962508579
Pm,144.91276,236.0,,5.55,,200.0,0.025436806740734,0.033915742320978666,3.0,1.0,0.101747226962936,0.0010521496636378917,10.521496636378917
Pm,144.91276,236.0,,5.55,,200.0,0.017192652809119125,0.0229235370788255,6.0,2.0,0.0687706112364765,0.0006956571544347887,6.956571544347886
Pr,140.90766,239.0,1.13,5.464,,216.0,0.0255566221638342,0.0340754962184456,3.0,1.0,0.1022264886553368,0.0010267846612828206,10.267846612828206
Pt,195.08,209.0,2.28,9.0,2.128,48.0,0.013194852167782774,0.017593136223710365,3.0,1.0,0.052779408671131095,0.0009701932413247934,9.701932413247935
Pt,195.08,209.0,2.28,9.0,2.128,48.0,0.014011932927714648,0.018682577236952862,3.0,1.0,0.05604773171085859,0.0009976002181987644,9.976002181987644
Pu,244.0642,243.0,1.28,6.06,,145.0,0.01702388970977861,0.02269851961303815,3.0,1.0,0.06809555883911445,0.0007170382928016527,7.170382928016528
